id|version|current_holdings|previous_holdings|market_value|previous_market_value|pct_held|pct_portfolio|market_capitalization|q0_holding|q0_quarter|q0_source|q1_holding|q1_quarter|q1_source|q2_holding|q2_quarter|q2_source|q3_holding|q3_quarter|q3_source|q4_holding|q4_quarter|q4_source|q5_holding|q5_quarter|q5_source|q6_holding|q6_quarter|q6_source|q7_holding|q7_quarter|q7_source|q8_holding|q8_quarter|q8_source|p0_price|p1_price|p4_price|metro_area|firm_name|company_name|ticker|q0_market_value|qoq_net_change_flow|yoy_net_change_flow|qoq_inflow|qoq_outflow|yoy_inflow|yoy_outflow|qoq_new_positions|qoq_soldout_positions|qoq_increased_positions|qoq_decreased_positions|qoq_net_position_change|yoy_new_positions|yoy_soldout_positions|yoy_increased_positions|yoy_decreased_positions|yoy_net_position_change|new_positions|soldout_positions|increased_positions|decreased_positions|net_position_change|factset_security_id|factset_entity_id
1|1434811805|||||||1223971460.0||||||||||||||||||||||1425|2013-06-30T00:00:00+01:00|funds|1425|2013-03-31T00:00:00+00:00|funds||||Hartford/CT Metro|Zebra Capital Management LLC||||||||||0|0|0|0||0|0|0|0||0|0|0|0||W2C1TL-S-US|006W17-E
2|1434811805|||||||29667600.0|||||||820000|2014-09-30T00:00:00+01:00|funds|820000|2014-06-30T00:00:00+01:00|funds|833500|2014-03-31T00:00:00+01:00|funds|770000|2013-12-31T00:00:00+00:00|funds|770000|2013-09-30T00:00:00+01:00|funds|||||||||35.33|New York City/NY Metro|Allianz Global Investors U.S. LLC||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR82MN-S-US|09N7PK-E
3|1434811805|||||||0.0|||||||33527|2014-09-30T00:00:00+01:00|funds|33527|2014-06-30T00:00:00+01:00|funds|24034|2014-03-31T00:00:00+01:00|funds|24034|2013-12-31T00:00:00+00:00|funds|23834|2013-09-30T00:00:00+01:00|funds|23834|2013-06-30T00:00:00+01:00|funds|23834|2013-03-31T00:00:00+00:00|funds|||10043.07|Stockholm/Sweden Metro|Första AP-fonden||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR41SQ-S-FR|05JJC2-E
4|1434811805|||||||0.0||||1058|2014-12-31T00:00:00+00:00|funds|1058|2014-09-30T00:00:00+01:00|funds||||||||||||||||||||||Paris/Ile-de-France Metro|Amundi SA (Investment Management)||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR41SQ-S-FR|094MG7-E
5|1434811805|||||||0.0||||||||||750|2014-06-30T00:00:00+01:00|funds|750|2014-03-31T00:00:00+01:00|funds|||||||||||||||10043.07|Paris/Ile-de-France Metro|TOBAM SAS||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR41SQ-S-FR|07H1ZP-E
6|1434811805|||||||0.0||||20970|2014-12-31T00:00:00+00:00|funds|20970|2014-09-30T00:00:00+01:00|funds|19939|2014-06-30T00:00:00+01:00|funds|19445|2014-03-31T00:00:00+01:00|funds|17406|2013-12-31T00:00:00+00:00|funds|16098|2013-09-30T00:00:00+01:00|funds|13220|2013-06-30T00:00:00+01:00|funds|9418|2013-03-31T00:00:00+00:00|funds|||10043.07|London/UK Metro|Seven Investment Management LLP||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR41SQ-S-FR|07812F-E
7|1434811805|||||||939774.0||||||||||||||||8884|2013-12-31T00:00:00+00:00|funds|8884|2013-09-30T00:00:00+01:00|funds|8884|2013-06-30T00:00:00+01:00|funds|8884|2013-03-31T00:00:00+00:00|funds||||Boston/MA Metro|Geode Capital Management LLC||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR3570-S-US|0049LH-E
8|1434811805|||||||939774.0|||||||||||||||||||600|2013-09-30T00:00:00+01:00|funds|600|2013-06-30T00:00:00+01:00|funds|600|2013-03-31T00:00:00+00:00|funds||||Los Angeles/CA Metro|Los Angeles Capital Management & Equity Research, Inc.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR3570-S-US|05J6QK-E
9|1434811805|||||||939774.0|||||||||||||131616|2014-03-31T00:00:00+01:00|funds|131616|2013-12-31T00:00:00+00:00|funds|131616|2013-09-30T00:00:00+01:00|funds|131616|2013-06-30T00:00:00+01:00|funds|131616|2013-03-31T00:00:00+00:00|funds||||Philadelphia/PA Metro|The Vanguard Group, Inc.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XR3570-S-US|002FYS-E
10|1434811805|||||||0.0|||||||||||||||||||||||||869000|2013-03-31T00:00:00+00:00|funds||||Zurich/Switzerland Metro|LGT Capital Partners (FL) AG||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQSN11-S|05S6MD-E
11|1434811805|||||||0.0||||||||||||||||3213000|2013-12-31T00:00:00+00:00|funds|4110000|2013-09-30T00:00:00+01:00|funds|4110000|2013-06-30T00:00:00+01:00|funds|4006000|2013-03-31T00:00:00+00:00|funds||||Boston/MA Metro|Putnam Investment Management LLC||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQSN11-S|002K96-E
12|1434811805|||||||0.0|||||||||||||||||||||||||5427000|2013-03-31T00:00:00+00:00|funds||||Brussels/Belgium Metro|BNP Paribas Investment Partners Belgium SA||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQSN11-S|09QWTV-E
